ward,population
E05014290,5417
E05014297,7497
E05014307,8078
E05014312,7083
E05014330,5198
E05014252,5588
E05014281,5115
E05014287,6349
E05014291,6321
E05014300,8184
E05014306,7257
E05014318,6806
E05014328,7058
E05R14284,2034
E05014262,8313
E05014265,4366
E05014268,4897
E05014269,5241
E05014271,7179
E05014272,6699
E05014274,8253
E05014275,7083
E05014296,6286
E05014301,7387
E05014311,5734
E05014313,4692
E05014334,7560
E05014336,5679
E05014337,7450
E05014338,7447
E05S14284,4468
E05014253,6152
E05014254,6017
E05014260,6344
E05014261,6103
E05014264,5801
E05014266,5505
E05014293,8788
E05014303,6405
E05014314,8349
E05014315,10085
E05014317,8569
E05014326,7513
E05014329,6357
E05000976,11935
E05000977,11644
E05000978,11007
E05000979,11376
E05000980,11069
E05000981,11898
E05000982,12550
E05000983,10447
E05000984,12080
E05000985,11361
E05000986,11963
E05000987,13662
E05000988,10503
E05000989,11490
E05000990,13270
E05000991,11040
E05000992,11354
E05000993,10991
E05000994,12777
E05000995,12433
E05000996,9713
E05010728,16518
E05010729,14162
E05010730,9391
E05010731,18195
E05010732,14961
E05010733,16317
E05010734,10153
E05010735,12076
E05010736,17748
E05010737,17149
E05010738,12244
E05010739,15556
E05010740,15236
E05010741,10795
E05010742,17868
E05010743,10773
E05010744,9639
E05010745,18096
E05010746,11183
E05010747,22263
E05010748,17784
E05012993,12006
E05012994,9512
E05012995,8328
E05012996,15237
E05012997,8481
E05012998,9533
E05012999,9256
E05013000,12375
E05013001,7782
E05013002,7906
E05013003,12989
E05013004,13644
E05013005,7890
E05013006,9477
E05013007,9543
E05013008,9352
E05013009,8614
E05013010,16747
E05013011,14619
E05013012,12651
E05013013,8340
E05013014,10034
E05013015,9435
E05013016,9273
E05013017,12785
E05010857,19443
E05010858,17581
E05010859,16680
E05010860,21927
E05010861,27288
E05010862,21484
E05010863,17195
E05010864,22283
E05010865,18782
E05010866,18020
E05010867,20559
E05010868,22355
E05010869,17827
E05010870,20759
E05010871,17052
E05010872,19153
E05010873,22705
E05010874,17260
E05010875,23834
E05010876,18765
E05010877,18792
E05010878,20609
E05010879,20638
E05010880,18607
E05010881,18469
E05010882,22701
E05010883,17323
E05010884,18432
E05001341,15915
E05001342,18041
E05001343,18869
E05001344,17592
E05001345,22757
E05001346,21793
E05001347,23529
E05001348,18239
E05001349,17701
E05001350,20323
E05001351,19020
E05001352,19668
E05001353,17275
E05001354,15036
E05001355,18474
E05001356,17116
E05001357,16980
E05001358,22074
E05001359,20541
E05001360,17556
E05001361,17869
E05001362,15618
E05001363,18525
E05001364,20850
E05001365,21055
E05001366,12056
E05001367,15847
E05001368,16923
E05001369,14070
E05001370,15091
E05001371,10833
E05001372,11678
E05001373,12103
E05001374,11206
E05001375,11649
E05001376,12573
E05001377,9989
E05001378,11519
E05001379,12745
E05001380,15699
E05001381,11084
E05001382,11704
E05001383,13396
E05001384,11956
E05001385,12324
E05001386,12378
E05001387,13793
E05001389,20373
E05001390,18904
E05001391,20109
E05001392,16918
E05001393,17187
E05001396,17429
E05001397,16634
E05001398,20086
E05001399,19261
E05001400,21688
E05001401,18736
E05001402,21813
E05001403,18153
E05001405,19503
E05001407,20430
E05001408,19421
E05001409,19771
E05001410,18669
E05008558,17657
E05008559,17579
E05008560,19786
E05008561,16801
E05008562,16310
E05011384,23426
E05011385,26725
E05011387,24019
E05011388,28528
E05011389,24595
E05011390,24963
E05011391,24843
E05011394,30879
E05011395,24628
E05011396,18524
E05011397,31175
E05011399,26474
E05011400,26679
E05011401,22557
E05011402,22234
E05011403,31076
E05011404,29605
E05011405,23797
E05011406,23303
E05011407,23990
E05011409,25392
E05011410,20571
E05011411,23809
E05011413,21876
E05011414,21616
E05011547,24310
E05011549,22585
E05012647,26593
E05012648,25002
E05012841,21198
E05012842,23610
E05013830,20882
E05013831,22488
E05001444,17542
E05001445,16084
E05001446,19229
E05001447,16807
E05001448,15802
E05001449,17512
E05001450,15923
E05001451,15197
E05001452,14251
E05001453,17354
E05001454,16522
E05001455,19195
E05001456,15342
E05001457,18864
E05001458,16807
E05001459,17137
E05001460,17857
E05001461,17696
E05001462,14591
E05001463,16442
E05001464,17215
E05001767,14938
E05001768,13543
E05001769,16805
E05001770,21263
E05001771,13250
E05001772,14443
E05001773,13370
E05001774,15768
E05001775,15257
E05001776,14350
E05001777,15122
E05001778,15500
E05001779,14696
E05001780,19810
E05001781,13419
E05001782,17175
E05001783,12651
E05010458,22105
E05010459,11944
E05010460,18808
E05010461,20565
E05010462,21023
E05010463,23681
E05010464,17268
E05010465,12008
E05010466,14372
E05010467,21144
E05010468,16826
E05010469,23917
E05010470,17387
E05010471,13887
E05010472,13039
E05010473,21096
E05010474,12061
E05010475,14799
E05010476,15784
E05010477,21079
E05010478,15780
E05012632,2934
E05012633,2406
E05012634,3648
